Year,Date,Description,FullDate,Country
2023,15-Apr,War in Sudan.,4/15/23 0:00,
2023,20-Apr,"SpaceX conducts the first full stack test launch of the world's most powerful rocket, Starship.",4/20/23 0:00,
2023,5-May,World Health Organization ends the designation of COVID-19 as a public health emergency of international concern.,5/5/23 0:00,
2023,6-May,Charles III is crowned king of the United Kingdom and Commonwealth realms.,5/6/23 0:00,
2023,17-May,2023 Ecuadorian political crisis.,5/17/23 0:00,
2023,2-Jun,2023 Odisha train collision.,6/2/23 0:00,
2023,12-Jun,Kwara boat disaster.,6/12/23 0:00,
2023,14-Jul,2023 SAG-AFTRA strike.,7/14/23 0:00,
2023,26-Jul,2023 Nigerien coup d'état.,7/26/23 0:00,
2023,23-Aug,ISRO's Chandrayaan 3 lands on the lunar south pole making India the 4th nation to successfully soft land on the Moon.,8/23/23 0:00,
2023,30-Aug,2023 Gabonese coup d'état.,8/30/23 0:00,
2023,8-Sep,2023 Marrakesh-Safi earthquake kills nearly 6000 people.,9/8/23 0:00,
2023,10-Sep,"Storm Daniel becomes the deadiest Mediterranean storm in history, with over 4000 deaths in Libya.",9/10/23 0:00,
2023,September 19 – 20,2023 Azerbaijani offensive in Nagorno-Karabakh.,,
2023,3-Oct,Kevin McCarthy's expulsion via a motion introduced by Matt Gaetz is the first ousting of a Speaker of the United States House of Representatives in history.,10/3/23 0:00,
2023,7-Oct,Hamas attacks Israel; start of the Israel-Hamas war.,10/7/23 0:00,
2023,7-Oct,2023 Herat earthquakes.,10/7/23 0:00,
2023,23-Oct,2023 Guayana Esequiba crisis.,10/23/23 0:00,
2023,27-Oct,"Operation 1027, a coordinated assault by anti-Junta forces in the Myanmar civil war, begins.",10/27/23 0:00,
2023,24-Nov,Somalia admitted to East African Community.,11/24/23 0:00,
2023,12-Dec,COP28 ends with world leaders pledging transition away from fossil fuels.,12/12/23 0:00,
2023,18-Dec,Catholic Church releases Fiducia supplicans.,12/18/23 0:00,
2023,31-Dec,Queen Margrethe II of Denmark announces her abdication on January 14 after 52 years on the throne.,12/31/23 0:00,
